ship,k,value
0,0,0.637925
0,1,0.62446
0,2,0.842796
1,0,0.617401
1,1,0.663695
1,2,0.692857
2,0,0.692918
2,1,0.77095
2,2,0.865112
3,0,0.669563
3,1,0.753678
3,2,0.782464
4,0,0.722595
4,1,0.765299
4,2,0.872115
5,0,0.627724
5,1,0.746226
5,2,0.733571
6,0,0.682934
6,1,0.838305
6,2,0.654488
7,0,0.734975
7,1,0.684819
7,2,0.839944
8,0,0.662581
8,1,0.831404
8,2,0.784748
9,0,0.637108
9,1,0.739203
9,2,0.839855
10,0,0.677067
10,1,0.664782
10,2,0.742957
11,0,0.796666
11,1,0.722039
11,2,0.707981
12,0,0.756628
12,1,0.754913
12,2,0.612511
