ship,k,row,value
0,0,0,989
0,0,1,1198
0,0,2,1067
0,0,3,1184
0,0,4,1039
0,0,5,1015
0,0,6,932
0,0,7,1181
0,0,8,1101
0,0,9,1000
0,0,10,1189
0,0,11,969
0,0,12,944
0,0,13,1173
0,0,14,1121
0,0,15,913
0,0,16,1069
0,0,17,1013
0,0,18,903
0,0,19,910
0,1,0,985
0,1,1,1176
0,1,2,976
0,1,3,1020
0,1,4,929
0,1,5,1163
0,1,6,1099
0,1,7,1148
0,1,8,1000
0,1,9,1079
0,1,10,1132
0,1,11,1092
0,1,12,947
0,1,13,1094
0,1,14,955
0,1,15,918
0,1,16,951
0,1,17,1145
0,1,18,1185
0,1,19,1030
0,2,0,1099
0,2,1,1005
0,2,2,1189
0,2,3,1029
0,2,4,1163
0,2,5,1140
0,2,6,1021
0,2,7,1131
0,2,8,901
0,2,9,1073
0,2,10,1124
0,2,11,1065
0,2,12,1036
0,2,13,1008
0,2,14,1043
0,2,15,1104
0,2,16,1003
0,2,17,1031
0,2,18,927
0,2,19,1123
1,0,0,973
1,0,1,1069
1,0,2,1166
1,0,3,909
1,0,4,983
1,0,5,1174
1,0,6,1069
1,0,7,955
1,0,8,1110
1,0,9,945
1,0,10,1173
1,0,11,1164
1,0,12,1084
1,0,13,918
1,0,14,971
1,0,15,963
1,0,16,1099
1,0,17,1010
1,0,18,925
1,0,19,1039
1,1,0,932
1,1,1,941
1,1,2,934
1,1,3,937
1,1,4,1056
1,1,5,1194
1,1,6,1082
1,1,7,910
1,1,8,938
1,1,9,934
1,1,10,1007
1,1,11,1198
1,1,12,1162
1,1,13,1153
1,1,14,1095
1,1,15,1098
1,1,16,1069
1,1,17,967
1,1,18,931
1,1,19,916
1,2,0,990
1,2,1,914
1,2,2,913
1,2,3,1121
1,2,4,1055
1,2,5,1145
1,2,6,1167
1,2,7,920
1,2,8,945
1,2,9,1124
1,2,10,1007
1,2,11,998
1,2,12,992
1,2,13,1067
1,2,14,921
1,2,15,954
1,2,16,910
1,2,17,1098
1,2,18,921
1,2,19,1146
2,0,0,1094
2,0,1,945
2,0,2,908
